Sl  No,Name,Rate of Wages,No of Days Worked,Overtime hours worked,Basic,Special Basic,DA,Payments Overtime,HRA,Others,Total,Deductions,,,,,,,,Net Payment,Employer Share PF Welfare Fund,Receipt by Employee/ Bank Tranaction ID,Date of Payment,Remarks,,,
,,,,,,,,,,,,PF 12%,ESIC 0.75%,Society,Income Tax,Insurance,"Others
ESIC 3.25%",Recoveries,Total,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Employer 1,981,22,-,637,-,344,-,-,-,21582,1800,0,-,-,-,0,0,1800,19782,1950,897141,03-05-2025,,,,
2,Employer 2,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
3,Employer 3,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
4,Employer 4,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
5,Employer 5,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
6,Employer 6,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
7,Employer 7,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
8,Employer 8,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
9,Employer 9,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
10,Employer 10,805,18,-,523,-,282,-,-,-,14490,1739,109,-,-,-,471,0,1848,12642,1884,897141,03-05-2025,,,,
11,Employer 11,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
12,Employer 12,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
13,Employer 13,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
14,Employer 14,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
15,Employer 15,805,11,-,523,-,282,-,-,-,8855,1063,67,-,-,-,288,0,1130,7725,1151,897141,03-05-2025,,,,
16,Employer 16,805,19,-,523,-,282,-,-,-,15295,1800,115,-,-,-,497,0,1915,13380,1950,897141,03-05-2025,,,,
17,Employer 17,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
18,Employer 18,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
19,Employer 19,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
20,Employer 20,805,19,-,523,-,282,-,-,-,15295,1800,115,-,-,-,497,0,1915,13380,1950,897141,03-05-2025,,,,
21,Employer 21,805,10,-,523,-,282,-,-,-,8050,966,61,-,-,-,262,0,1027,7023,1047,897141,03-05-2025,,,,
22,Employer 22,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
23,Employer 23,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
24,Employer 24,805,19,-,523,-,282,-,-,-,15295,1800,115,-,-,-,497,0,1915,13380,1950,897141,03-05-2025,,,,
25,Employer 25,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
