Sl  No,Name,Rate of Wages,No of Days Worked,Overtime hours worked,Basic,Special Basic,DA,Payments Overtime,HRA,Others,Total,Deductions,,,,,,,,Net Payment,Employer Share PF Welfare Fund,Receipt by Employee/ Bank Tranaction ID,Date of Payment,Remarks
,,,,,,,,,,,,PF 12%,ESIC 0.75%,Society,Income Tax,Insurance,"Others
ESIC 3.25%",Recoveries,Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,Employer 1,981,26,-,637,-,344,-,-,-,25506,1800,0,-,-,-,0,0,1800,23706,1950,897146,02-06-2025,
2,Employer 2,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
3,Employer 3,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897146,02-06-2025,
4,Employer 4,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
5,Employer 5,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
6,Employer 6,805,25,-,523,-,282,-,-,-,20125,1800,151,-,-,-,654,0,1951,18174,1950,897146,02-06-2025,
7,Employer 7,805,25,-,523,-,282,-,-,-,20125,1800,151,-,-,-,654,0,1951,18174,1950,897146,02-06-2025,
8,Employer 8,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
9,Employer 9,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
10,Employer 10,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897146,02-06-2025,
11,Employer 11,805,25,-,523,-,282,-,-,-,20125,1800,151,-,-,-,654,0,1951,18174,1950,897146,02-06-2025,
12,Employer 12,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
13,Employer 13,805,18,-,523,-,282,-,-,-,14490,1739,109,-,-,-,471,0,1848,12642,1884,897146,02-06-2025,
14,Employer 14,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897146,02-06-2025,
15,Employer 15,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897146,02-06-2025,
16,Employer 16,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
17,Employer 17,805,25,-,523,-,282,-,-,-,20125,1800,151,-,-,-,654,0,1951,18174,1950,897146,02-06-2025,
18,Employer 18,805,25,-,523,-,282,-,-,-,20125,1800,151,-,-,-,654,0,1951,18174,1950,897146,02-06-2025,
19,Employer 19,805,26,-,523,-,282,-,-,-,20930,1800,157,-,-,-,680,0,1957,18973,1950,897146,02-06-2025,
20,Employer 20,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
21,Employer 21,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897146,02-06-2025,
22,Employer 22,805,26,-,523,-,282,-,-,-,20930,1800,157,-,-,-,680,0,1957,18973,1950,897146,02-06-2025,
23,Employer 23,805,25,-,523,-,282,-,-,-,20125,1800,151,-,-,-,654,0,1951,18174,1950,897146,02-06-2025,
24,Employer 24,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897146,02-06-2025,
25,Employer 25,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
26,Employer 26,805,24,-,523,-,282,-,-,-,19320,1800,145,-,-,-,628,0,1945,17375,1950,897146,02-06-2025,
